trm_lvl_id,pmid,page,original_strings_caught_from_tt,mesh_term,mesh_code,atc_code,risk_score,tid,global,global_n,global_pcdsfartl,mesh_term_f,txt_id
6121,29409951,2,IgE levels,Immunoglobulin E,D007073,NA,0,518,any,2,000000000,Immunoglobulin E,NA
6122,29409951,3,";ige high (>150 ku/l; n = 1,204)",Immunoglobulin E,D007073,NA,0,781,any,2,000000000,Immunoglobulin E,NA
6123,29409951,3,";igelow(<150ku/l; n=1,053)",Immunoglobulin E,D007073,NA,0,781,any,2,000000000,Immunoglobulin E,NA
6124,29409951,3,IgE levels,Immunoglobulin E,D007073,NA,0,781,any,2,000000000,Immunoglobulin E,NA
6125,29413502,2,high blood eosinophil counts,Eosinophilia,D004802,NA,0,1801,any,2,000000000,Eosinophilia,NA
6126,29413502,2,high serum periostin,"POSTN protein, human",C512835,NA,0,1801,any,2,000000000,"POSTN protein, human",NA
6127,29414542,NA,use of lamotrigine,Lamotrigine,D000077213,NA,0,0,any,2,000000000,Lamotrigine,275
6128,29414542,NA,use of topiramate,Topiramate,D000077236,NA,0,0,any,2,000000000,Topiramate,86
6129,29415145,1,"age, years",Age Factors,D000367,NA,0,928,any,2,000000000,Age Factors,NA
6130,29415145,1,"age, years;<65",Age Factors,D000367,NA,0,928,any,2,000000000,Age Factors,NA
6131,29415145,1,"age, years;=>65",Age Factors,D000367,NA,0,928,any,2,000000000,Age Factors,NA
6132,29415145,1,"baseline weight, kg",Body Weight,D001835,NA,0,928,any,2,000000000,Body Weight,NA
6133,29415145,1,corticosteroid use,Steroids,D013256,NA,0,928,any,2,000000000,Steroids,NA
6134,29415145,1,disease Duration rheumatoid arthritis,"Arthritis, Rheumatoid",D001172,NA,0,928,duration,5,001000000,"Arthritis, Rheumatoid",NA
6135,29415145,1,region (pooled),Geographic Locations,D005842,NA,0,928,any,2,000000000,Geographic Locations,NA
6136,29415145,1,region (pooled);rest of world,Geographic Locations,D005842,NA,0,928,any,2,000000000,Geographic Locations,NA
6137,29415145,1,region (pooled);usa and canada,Geographic Locations,D005842,NA,0,928,any,2,000000000,Geographic Locations,NA
6138,29415145,1,seropositivity,"Arthritis, Rheumatoid",D001172,NA,0,928,risk score,10,000000100,"Arthritis, Rheumatoid",NA
6139,29415145,1,seropositivity;rf and acpa negative,Rheumatoid Factor,D012217,NA,0,928,any,2,000000000,Rheumatoid Factor,NA
6140,29415145,1,seropositivity;rf or acpa positive,Rheumatoid Factor,D012217,NA,0,928,any,2,000000000,Rheumatoid Factor,NA
6141,29415145,2,no. of non-tnfi,Tumor Necrosis Factor Inhibitors,D000079424,L04AB,0,180,any,2,000000000,Tumor Necrosis Factor Inhibitors,NA
6142,29415145,2,no. of prior bdmards,Antirheumatic Agents,D018501,NA,0,180,previous,8,100000000,Antirheumatic Agents,NA
6143,29415145,2,no. of prior tnfi,Tumor Necrosis Factor Inhibitors,D000079424,L04AB,0,180,previous,8,100000000,Tumor Necrosis Factor Inhibitors,NA
6144,29415145,2,no. of tnfi among non-tnfi naive,Tumor Necrosis Factor Inhibitors,D000079424,L04AB,0,180,previous,8,100000000,Tumor Necrosis Factor Inhibitors,NA
6145,29415145,2,prior tnfi treatment,Tumor Necrosis Factor Inhibitors,D000079424,L04AB,0,180,previous,8,100000000,Tumor Necrosis Factor Inhibitors,NA
6146,29415145,2,"prior tnfi treatment;ada, no",Tumor Necrosis Factor Inhibitors,D000079424,NA,0,180,previous,8,100000000,Tumor Necrosis Factor Inhibitors,NA
6147,29415145,2,"prior tnfi treatment;ada, yes",Tumor Necrosis Factor Inhibitors,D000079424,NA,0,180,previous,8,100000000,Tumor Necrosis Factor Inhibitors,NA
6148,29415145,2,"prior tnfi treatment;etn, no",Tumor Necrosis Factor Inhibitors,D000079424,NA,0,180,previous,8,100000000,Tumor Necrosis Factor Inhibitors,NA
6149,29415145,2,"prior tnfi treatment;etn, yes",Tumor Necrosis Factor Inhibitors,D000079424,NA,0,180,previous,8,100000000,Tumor Necrosis Factor Inhibitors,NA
6150,29415145,2,"prior tnfi treatment;inflix, no",Tumor Necrosis Factor Inhibitors,D000079424,NA,0,180,previous,8,100000000,Tumor Necrosis Factor Inhibitors,NA
6151,29415145,2,"prior tnfi treatment;inflix, yes",Tumor Necrosis Factor Inhibitors,D000079424,NA,0,180,previous,8,100000000,Tumor Necrosis Factor Inhibitors,NA
6152,29429593,2,<30% (n=314),Pulmonary Ventilation,D012123,NA,0,359,previous severity,9,100100000,Pulmonary Ventilation,NA
6153,29429593,2,>1 exacerbation in prev 12 m (n=294),"Pulmonary Disease, Chronic Obstructive",D029424,NA,0,359,previous severity,9,100100000,"Pulmonary Disease, Chronic Obstructive",NA
6154,29429593,2,>30%(n=1218),Pulmonary Ventilation,D012123,NA,0,359,previous severity,9,100100000,Pulmonary Ventilation,NA
6155,29429593,2,1 exacerbation in prev 12 m (n=1238),"Pulmonary Disease, Chronic Obstructive",D029424,NA,0,359,previous severity,9,100100000,"Pulmonary Disease, Chronic Obstructive",NA
6156,29429593,2,chronic bronchitis (n=855),Bronchitis,D001991,NA,0,359,any,2,000000000,Bronchitis,NA
6157,29429593,2,emphysema (n=462),Pulmonary Emphysema,D011656,NA,0,359,aetiological,1,000001000,Pulmonary Emphysema,NA
6158,29429593,2,male female,Gender Identity,D005783,NA,0,359,any,2,000000000,Gender Identity,NA
6159,29429593,2,Prespecified subgroup analyses according to baseline blood eosinophil count,Eosinophilia,D004802,NA,0,359,any,2,000000000,Eosinophilia,NA
6160,29429593,2,Smoker,Cigarette Smoking,D000073865,NA,0,359,any,2,000000000,Cigarette Smoking,NA
6161,29430796,NA,diabetes,Diabetes Mellitus,D003920,NA,0,0,any,2,000000000,Diabetes Mellitus,276
6162,29430801,NA,age,Age Factors,D000367,NA,0,0,any,2,000000000,Age Factors,NA
6163,29430801,NA,duration of diabetes,Diabetes Mellitus,D003920,NA,0,0,duration,5,001000000,Diabetes Mellitus,NA
6164,29430801,NA,hba1c,Glycated Hemoglobin A,D006442,NA,0,0,any,2,000000000,Glycated Hemoglobin A,79
6165,29431256,2,Ejection Fraction,Stroke Volume,D013318,NA,0,102,any,2,000000000,Stroke Volume,NA
6166,29445520,NA,age,Age Factors,D000367,NA,0,0,any,2,000000000,Age Factors,79
6167,29445520,NA,diabetes,Diabetes Mellitus,D003920,NA,0,0,any,2,000000000,Diabetes Mellitus,NA
6168,29445520,NA,sex,Gender Identity,D005783,NA,0,0,any,2,000000000,Gender Identity,NA
6169,29447769,NA,Medical History: Prior Stroke,Stroke,D020521,NA,0,0,previous,8,100000000,Stroke,67
6170,29463520,2,non-statin (n=1054),Hydroxymethylglutaryl-CoA Reductase Inhibitors,D019161,NA,0,1395,any,2,000000000,Hydroxymethylglutaryl-CoA Reductase Inhibitors,NA
6171,29463520,2,non-statin (n=704),Hydroxymethylglutaryl-CoA Reductase Inhibitors,D019161,NA,0,1395,any,2,000000000,Hydroxymethylglutaryl-CoA Reductase Inhibitors,NA
6172,29463520,2,statin (n=137),Hydroxymethylglutaryl-CoA Reductase Inhibitors,D019161,NA,0,1395,any,2,000000000,Hydroxymethylglutaryl-CoA Reductase Inhibitors,NA
6173,29463520,2,statin (n=84),Hydroxymethylglutaryl-CoA Reductase Inhibitors,D019161,NA,0,1395,any,2,000000000,Hydroxymethylglutaryl-CoA Reductase Inhibitors,NA
6174,29471381,NA,perianal fistula,Fistula,D005402,NA,0,0,any,2,000000000,Fistula,186
6175,29490509,2,severe disease subgroup,Prostatic Hyperplasia,D011470,NA,0,624,severity,11,000100000,Prostatic Hyperplasia,NA
6176,29526832,2,h/o of heart failure,Heart Failure,D006333,NA,0,742,previous,8,100000000,Heart Failure,NA
6177,29544534,NA,concomitant MTX use,Immunosuppressive Agents,D007166,NA,0,0,any,2,000000000,Immunosuppressive Agents,214
6178,29544534,NA,previous anti-TNF use (ACR20/50 and DAS28-CRP assessments) concomitant MTX use,Tumor Necrosis Factor Inhibitors,D000079424,L04AB,0,0,previous,8,100000000,Tumor Necrosis Factor Inhibitors,77
6179,29544870,2,"Baseline Diabetes, Baseline PreDiabetes,Baseline Normoglycemia",Diabetes Mellitus,D003920,NA,0,1053,any,2,000000000,Diabetes Mellitus,NA
6180,29544870,3,"Baseline Diabetes, Baseline PreDiabetes,Baseline Normoglycemia",Diabetes Mellitus,D003920,NA,0,885,any,2,000000000,Diabetes Mellitus,NA
6181,29556416,2,<4.5 (n=140),"Arthritis, Psoriatic",D015535,NA,0,968,severity,11,000100000,"Arthritis, Psoriatic",NA
6182,29556416,2,<4.5 (n=29),"Arthritis, Psoriatic",D015535,NA,0,968,severity,11,000100000,"Arthritis, Psoriatic",NA
6183,29556416,2,<4.5 (n=31),"Arthritis, Psoriatic",D015535,NA,0,968,severity,11,000100000,"Arthritis, Psoriatic",NA
6184,29556416,2,<4.5 (n=65),"Arthritis, Psoriatic",D015535,NA,0,968,severity,11,000100000,"Arthritis, Psoriatic",NA
6185,29556416,2,<4.5 (n=75),"Arthritis, Psoriatic",D015535,NA,0,968,severity,11,000100000,"Arthritis, Psoriatic",NA
6186,29556416,2,>4.5 (n=129),"Arthritis, Psoriatic",D015535,NA,0,968,severity,11,000100000,"Arthritis, Psoriatic",NA
6187,29556416,2,>4.5 (n=26),"Arthritis, Psoriatic",D015535,NA,0,968,severity,11,000100000,"Arthritis, Psoriatic",NA
6188,29556416,2,>4.5 (n=30),"Arthritis, Psoriatic",D015535,NA,0,968,severity,11,000100000,"Arthritis, Psoriatic",NA
6189,29556416,2,>4.5 (n=58),"Arthritis, Psoriatic",D015535,NA,0,968,severity,11,000100000,"Arthritis, Psoriatic",NA
6190,29556416,2,>4.5 (n=71),"Arthritis, Psoriatic",D015535,NA,0,968,severity,11,000100000,"Arthritis, Psoriatic",NA
6191,29556416,2,Baseline mTSS,"Arthritis, Rheumatoid",D001172,NA,0,968,severity,11,000100000,"Arthritis, Rheumatoid",NA
6192,29563108,NA,urinary protein:creatinine ratio,Albuminuria,D000419,NA,0,0,any,2,000000000,Albuminuria,154
6193,29661699,2,with diabetes,Diabetes Mellitus,D003920,NA,0,1614,any,2,000000000,Diabetes Mellitus,NA
6194,29661699,2,without diabetes,Diabetes Mellitus,D003920,NA,0,1614,any,2,000000000,Diabetes Mellitus,NA
6195,29664406,2,;nonblack (n=1465),Racial Groups,D044469,NA,0,1562,any,2,000000000,Racial Groups,NA
6196,29664406,2,race,Racial Groups,D044469,NA,0,1562,any,2,000000000,Racial Groups,NA
6197,29671280,2,hypocomplementemic (C3 <90 mg/dl and/or C4 <10 mg/dl) and anti-double-stranded DNA (anti-dsDNA) positive (=30 IU/ml) at baseline.,Autoantibodies,D001323,NA,0,1317,any,2,000000000,Autoantibodies,NA
6198,29671280,2,hypocomplementemic (C3 <90 mg/dl and/or C4 <10 mg/dl) and anti-double-stranded DNA (anti-dsDNA) positive (â‰¥30 IU/ml) at baseline.,Autoantibodies,D001323,NA,0,1317,any,2,000000000,Autoantibodies,NA
6199,29680881,NA,region,Geographic Locations,D005842,NA,0,0,any,2,000000000,Geographic Locations,281
6200,29685860,1,-�-;accord acr <3-4,Albuminuria,D000419,NA,0,1310,any,2,000000000,Albuminuria,NA
6201,29685860,1,;sprint acr <3-4,Albuminuria,D000419,NA,0,1310,any,2,000000000,Albuminuria,NA
6202,29685860,1,;sprint acr >3-4,Albuminuria,D000419,NA,0,1310,any,2,000000000,Albuminuria,NA
6203,29685860,1,age (years),Age Factors,D000367,NA,0,1078,any,2,000000000,Age Factors,NA
6204,29685860,1,antihypertensive agents (n per patient),Antihypertensive Agents,D000959,NA,0,1078,any,2,000000000,Antihypertensive Agents,NA
6205,29685860,1,body-mass index (kg/m2),Body Mass Index,D015992,NA,0,1078,any,2,000000000,Body Mass Index,NA
6206,29685860,1,clinical atherosclerotic disease*,Atherosclerosis,D050197,NA,0,1078,any,2,000000000,Atherosclerosis,NA
6207,29685860,1,diastolic blood pressure (mm hg),Blood Pressure,D001794,NA,0,1078,any,2,000000000,Blood Pressure,NA
6208,29685860,1,duration of diabetes (years),Diabetes Mellitus,D003920,NA,0,1078,duration,5,001000000,Diabetes Mellitus,NA
6209,29685860,1,egfr‡ (ml/min per 1·73 m2),Glomerular Filtration Rate,D005919,NA,0,1078,any,2,000000000,Glomerular Filtration Rate,NA
6210,29685860,1,fasting plasma glucose (mmol/l),Glucose,D005947,NA,0,1078,any,2,000000000,Glucose,NA
6211,29685860,1,male female,Gender Identity,D005783,NA,0,1078,any,2,000000000,Gender Identity,NA
6212,29685860,1,never smoked,Cigarette Smoking,D000073865,NA,0,1078,any,2,000000000,Cigarette Smoking,NA
6213,29685860,1,race,Racial Groups,D044469,NA,0,1078,any,2,000000000,Racial Groups,NA
6214,29685860,1,systolic blood pressure (mm hg),Blood Pressure,D001794,NA,0,1078,any,2,000000000,Blood Pressure,NA
6215,29685860,1,urinary acr (mg/mmol),Albuminuria,D000419,NA,0,1078,any,2,000000000,Albuminuria,NA
6216,29685860,1,-�-;accord acr >3-4,Albuminuria,D000419,NA,0,1310,any,2,000000000,Albuminuria,NA
6217,29685860,1,-�-,Albuminuria,D000419,NA,0,1310,any,2,000000000,Albuminuria,NA
6218,29685860,NA,Albuminuria,Albuminuria,D000419,NA,0,0,any,2,000000000,Albuminuria,NA
6219,29687620,NA,age,Age Factors,D000367,NA,0,0,any,2,000000000,Age Factors,280
6220,29713156,2,"age, years",Age Factors,D000367,NA,0,226,any,2,000000000,Age Factors,NA
6221,29713156,2,ccq total score,"Pulmonary Disease, Chronic Obstructive",D029424,NA,0,226,severity,11,000100000,"Pulmonary Disease, Chronic Obstructive",NA
6222,29713156,2,"dyspnea – mmrc grade, n (%)",Dyspnea,D004417,NA,0,226,severity,11,000100000,Dyspnea,NA
6223,29713156,2,"number of patients with exacerbations in the previous 12 months, n (%)","Pulmonary Disease, Chronic Obstructive",D029424,NA,0,226,previous severity,9,100100000,"Pulmonary Disease, Chronic Obstructive",NA
6224,29713156,2,"post-bronchodilator fev1, % predicted",Bronchodilator Agents,D001993,NA,0,226,any,2,000000000,Bronchodilator Agents,NA
6225,29713156,2,"post-bronchodilator fev1, l",Bronchodilator Agents,D001993,NA,0,226,any,2,000000000,Bronchodilator Agents,NA
6226,29743836,NA,Patient Variable: Ethnicity,Racial Groups,D044469,NA,0,0,any,2,000000000,Racial Groups,32
6227,29743836,NA,race,Racial Groups,D044469,NA,0,0,any,2,000000000,Racial Groups,32
6228,29748996,1,";hba1c, %d",Glycated Hemoglobin A,D006442,NA,0,1152,any,2,000000000,Glycated Hemoglobin A,NA
6229,29748996,1,";weight, kg",Body Weight,D001835,NA,0,1152,any,2,000000000,Body Weight,NA
6230,29748996,1,male female,Gender Identity,D005783,NA,0,1152,any,2,000000000,Gender Identity,NA
6231,29766634,2,";age, years",Age Factors,D000367,NA,0,711,any,2,000000000,Age Factors,NA
6232,29766634,2,";weight, kg",Body Weight,D001835,NA,0,711,any,2,000000000,Body Weight,NA
6233,29766634,2,male female,Gender Identity,D005783,NA,0,711,any,2,000000000,Gender Identity,NA
6234,29768149,NA,uncontrolled on as-needed inhaled short-acting bronchodilator(s) vs well-controlled on maintenance low-dose inhaled glucocorticoid or LTRA plus as-needed short-acting bronchodilator(s).,Adrenal Cortex Hormones,D000305,NA,0,0,any,2,000000000,Adrenal Cortex Hormones,16
6235,29777264,1,";age, years",Age Factors,D000367,NA,0,294,any,2,000000000,Age Factors,NA
6236,29777264,1,;anti-hypertensive therapy,Antihypertensive Agents,D000959,NA,0,294,any,2,000000000,Antihypertensive Agents,NA
6237,29777264,1,;anticoagulant,Anticoagulants,D000925,NA,0,294,any,2,000000000,Anticoagulants,NA
6238,29777264,1,";bmi, kg/m2",Body Mass Index,D015992,NA,0,294,any,2,000000000,Body Mass Index,NA
6239,29777264,1,;cardiac failurec,Heart Failure,D006333,NA,0,294,any,2,000000000,Heart Failure,NA
6240,29777264,1,";egfr (mdrd), ml min-1 1.73 m-2",Glomerular Filtration Rate,D005919,NA,0,294,any,2,000000000,Glomerular Filtration Rate,NA
6241,29777264,1,";egfr (mdrd), ml minâˆ’1 1.73Â mâˆ’2",Glomerular Filtration Rate,D005919,NA,0,294,any,2,000000000,Glomerular Filtration Rate,NA
6242,29777264,1,";hba1c, %d",Glycated Hemoglobin A,D006442,NA,0,294,any,2,000000000,Glycated Hemoglobin A,NA
6243,29777264,1,";hba1c, mmol/mold",Glycated Hemoglobin A,D006442,NA,0,294,any,2,000000000,Glycated Hemoglobin A,NA
6244,29777264,1,;lipid-lowering therapy,lipid modifying agents,NA,C10,0,294,any,2,000000000,lipid modifying agents,NA
6245,29777264,1,";total cholesterol, mmol/le",Lipoproteins,D008074,NA,0,294,any,2,000000000,Lipoproteins,NA
6246,29777264,1,";triacylglycerol, mmol/le",Lipoproteins,D008074,NA,0,294,any,2,000000000,Lipoproteins,NA
6247,29777264,1,";weight, kg",Body Weight,D001835,NA,0,294,any,2,000000000,Body Weight,NA
6248,29777264,1,Diastolic blood pressure,Blood Pressure,D001794,NA,0,294,any,2,000000000,Blood Pressure,NA
6249,29777264,1,HDL cholesterol,Lipoproteins,D008074,NA,0,294,any,2,000000000,Lipoproteins,NA
6250,29777264,1,LDL cholesterol,Lipoproteins,D008074,NA,0,294,any,2,000000000,Lipoproteins,NA
6251,29777264,1,male female,Gender Identity,D005783,NA,0,294,any,2,000000000,Gender Identity,NA
6252,29777264,1,sbp,Blood Pressure,D001794,NA,0,294,any,2,000000000,Blood Pressure,NA
6253,29782217,2,fraction of exhaled nitric oxide,Soluble Guanylyl Cyclase,D000071756,NA,0,424,any,2,000000000,Soluble Guanylyl Cyclase,NA
6254,29782217,2,fraction of exhaled nitric oxide;<25 ppb,Soluble Guanylyl Cyclase,D000071756,NA,0,424,any,2,000000000,Soluble Guanylyl Cyclase,NA
6255,29782217,2,fraction of exhaled nitric oxide;>25 to <50 ppb,Soluble Guanylyl Cyclase,D000071756,NA,0,424,any,2,000000000,Soluble Guanylyl Cyclase,NA
6256,29782217,2,fraction of exhaled nitric oxide;>50 ppb,Soluble Guanylyl Cyclase,D000071756,NA,0,424,any,2,000000000,Soluble Guanylyl Cyclase,NA
6257,29782217,2,Prespecified subgroup analyses according to baseline blood eosinophil count,Eosinophilia,D004802,NA,0,424,any,2,000000000,Eosinophilia,NA
6258,29782217,3,fraction of exhaled nitric oxide,Soluble Guanylyl Cyclase,D000071756,NA,0,78,any,2,000000000,Soluble Guanylyl Cyclase,NA
6259,29782217,3,fraction of exhaled nitric oxide;<25 ppb,Soluble Guanylyl Cyclase,D000071756,NA,0,78,any,2,000000000,Soluble Guanylyl Cyclase,NA
6260,29782217,3,fraction of exhaled nitric oxide;>25 to <50 ppb,Soluble Guanylyl Cyclase,D000071756,NA,0,78,any,2,000000000,Soluble Guanylyl Cyclase,NA
6261,29782217,3,fraction of exhaled nitric oxide;>50 ppb,Soluble Guanylyl Cyclase,D000071756,NA,0,78,any,2,000000000,Soluble Guanylyl Cyclase,NA
6262,29782217,3,Prespecified subgroup analyses according to baseline blood eosinophil count,Eosinophilia,D004802,NA,0,78,any,2,000000000,Eosinophilia,NA
6263,29790415,1,gene type,Genetic Profile,D000076610,NA,0,1309,type,12,000000010,Genetic Profile,NA
6264,29793629,2,;egfr <60 ml/min/1.73 m2,Glomerular Filtration Rate,D005919,NA,0,1766,any,2,000000000,Glomerular Filtration Rate,NA
6265,29793629,2,;egfr =60 ml/min/1.73 m2,Glomerular Filtration Rate,D005919,NA,0,1766,any,2,000000000,Glomerular Filtration Rate,NA
6266,29793629,2,;egfrÂ â‰¥60Â ml/min/1.73 m2,Glomerular Filtration Rate,D005919,NA,0,1766,any,2,000000000,Glomerular Filtration Rate,NA
6267,29793629,2,;uacr <3 mg/mmol*,Albuminuria,D000419,NA,0,1766,any,2,000000000,Albuminuria,NA
6268,29793629,2,;uacr =3 mg/mmol*,Albuminuria,D000419,NA,0,1766,any,2,000000000,Albuminuria,NA
6269,29793629,2,;uacrÂ <3Â mg/mmolâˆ—,Albuminuria,D000419,NA,0,1766,any,2,000000000,Albuminuria,NA
6270,29793629,2,;uacrÂ â‰¥3Â mg/mmolâˆ—,Albuminuria,D000419,NA,0,1766,any,2,000000000,Albuminuria,NA
6271,29797519,1,anti-TNF treatment failure,Tumor Necrosis Factor Inhibitors,D000079424,L04AB,0,465,any,2,000000000,Tumor Necrosis Factor Inhibitors,NA
6272,29797519,1,anti-TNF treatment non-failure,Tumor Necrosis Factor Inhibitors,D000079424,L04AB,0,465,any,2,000000000,Tumor Necrosis Factor Inhibitors,NA
6273,29857145,3,TNF antagonist–exposed,Tumor Necrosis Factor Inhibitors,D000079424,L04AB,0,450,any,2,000000000,Tumor Necrosis Factor Inhibitors,NA
6274,29857145,3,TNF antagonist–naive,Tumor Necrosis Factor Inhibitors,D000079424,L04AB,0,450,any,2,000000000,Tumor Necrosis Factor Inhibitors,NA
6275,29857145,3,TNF antagonist exposed,Tumor Necrosis Factor Inhibitors,D000079424,L04AB,0,450,any,2,000000000,Tumor Necrosis Factor Inhibitors,NA
6276,29857145,3,TNF antagonist naive,Tumor Necrosis Factor Inhibitors,D000079424,L04AB,0,450,any,2,000000000,Tumor Necrosis Factor Inhibitors,NA
6277,29857145,4,TNF antagonist–exposed,Tumor Necrosis Factor Inhibitors,D000079424,L04AB,0,1292,any,2,000000000,Tumor Necrosis Factor Inhibitors,NA
6278,29857145,4,TNF antagonist–naive,Tumor Necrosis Factor Inhibitors,D000079424,L04AB,0,1292,any,2,000000000,Tumor Necrosis Factor Inhibitors,NA
6279,29857145,4,TNF antagonist exposed,Tumor Necrosis Factor Inhibitors,D000079424,L04AB,0,1292,any,2,000000000,Tumor Necrosis Factor Inhibitors,NA
6280,29857145,4,TNF antagonist naive,Tumor Necrosis Factor Inhibitors,D000079424,L04AB,0,1292,any,2,000000000,Tumor Necrosis Factor Inhibitors,NA
6281,29857145,5,TNF antagonist–exposed,Tumor Necrosis Factor Inhibitors,D000079424,L04AB,0,105,any,2,000000000,Tumor Necrosis Factor Inhibitors,NA
6282,29857145,5,TNF antagonist–naive,Tumor Necrosis Factor Inhibitors,D000079424,L04AB,0,105,any,2,000000000,Tumor Necrosis Factor Inhibitors,NA
6283,29857145,5,TNF antagonist exposed,Tumor Necrosis Factor Inhibitors,D000079424,L04AB,0,105,any,2,000000000,Tumor Necrosis Factor Inhibitors,NA
6284,29857145,5,TNF antagonist naive,Tumor Necrosis Factor Inhibitors,D000079424,L04AB,0,105,any,2,000000000,Tumor Necrosis Factor Inhibitors,NA
6285,29857145,6,TNF antagonist–exposed,Tumor Necrosis Factor Inhibitors,D000079424,L04AB,0,1064,any,2,000000000,Tumor Necrosis Factor Inhibitors,NA
6286,29857145,6,TNF antagonist–naive,Tumor Necrosis Factor Inhibitors,D000079424,L04AB,0,1064,any,2,000000000,Tumor Necrosis Factor Inhibitors,NA
6287,29857145,6,TNF antagonist exposed,Tumor Necrosis Factor Inhibitors,D000079424,L04AB,0,1064,any,2,000000000,Tumor Necrosis Factor Inhibitors,NA
6288,29857145,6,TNF antagonist naive,Tumor Necrosis Factor Inhibitors,D000079424,L04AB,0,1064,any,2,000000000,Tumor Necrosis Factor Inhibitors,NA
6289,29857145,7,TNF antagonist–exposed,Tumor Necrosis Factor Inhibitors,D000079424,L04AB,0,771,any,2,000000000,Tumor Necrosis Factor Inhibitors,NA
6290,29857145,7,TNF antagonist–naive,Tumor Necrosis Factor Inhibitors,D000079424,L04AB,0,771,any,2,000000000,Tumor Necrosis Factor Inhibitors,NA
6291,29857145,7,TNF antagonist exposed,Tumor Necrosis Factor Inhibitors,D000079424,L04AB,0,771,any,2,000000000,Tumor Necrosis Factor Inhibitors,NA
6292,29857145,7,TNF antagonist naive,Tumor Necrosis Factor Inhibitors,D000079424,L04AB,0,771,any,2,000000000,Tumor Necrosis Factor Inhibitors,NA
6293,29880010,1,;tnf-ir,Tumor Necrosis Factor Inhibitors,D000079424,L04AB,0,677,any,2,000000000,Tumor Necrosis Factor Inhibitors,NA
6294,29880010,1,prior exposure to anti TNF,Tumor Necrosis Factor Inhibitors,D000079424,L04AB,0,677,previous,8,100000000,Tumor Necrosis Factor Inhibitors,NA
6295,29903515,3,"nonalcoholic fatty liver disease fibrosis score, severity",Non-alcoholic Fatty Liver Disease,D065626,NA,0,NA,severity,11,000100000,Non-alcoholic Fatty Liver Disease,NA
6296,29903515,3,"nonalcoholic fatty liver disease fibrosis score, severity/risk",Non-alcoholic Fatty Liver Disease,D065626,NA,0,NA,severity,11,000100100,Non-alcoholic Fatty Liver Disease,NA
6297,29908670,1,age,Age Factors,D000367,NA,0,671,any,2,000000000,Age Factors,NA
6298,29908670,1,BMI,Body Mass Index,D015992,NA,0,671,any,2,000000000,Body Mass Index,NA
6299,29908670,1,gender,Gender Identity,D005783,NA,0,671,any,2,000000000,Gender Identity,NA
6300,29908670,1,race,Racial Groups,D044469,NA,0,671,any,2,000000000,Racial Groups,NA
6301,29908670,1,race;non-white,Racial Groups,D044469,NA,0,671,any,2,000000000,Racial Groups,NA
6302,29908670,1,region,Geographic Locations,D005842,NA,0,671,any,2,000000000,Geographic Locations,NA
6303,29908670,1,weight,Body Weight,D001835,NA,0,671,any,2,000000000,Body Weight,NA
6304,29909019,2,induction study population,unclassifiable,NA,NA,0,1689,previous,8,100000000,unclassifiable,NA
6305,29909019,2,randomized patients with eligible SES-CD score or ulcerations at induction baseline,Endoscopy,D004724,NA,0,1689,severity,11,000100000,Endoscopy,NA
6306,29910024,NA,albuminuria,Albuminuria,D000419,NA,0,0,any,2,000000000,Albuminuria,80
6307,29925383,2,;age <65years,Age Factors,D000367,NA,0,1421,any,2,000000000,Age Factors,NA
6308,29925383,2,;age =65years,Age Factors,D000367,NA,0,1421,any,2,000000000,Age Factors,NA
6309,29925383,2,;age â‰¥65years,Age Factors,D000367,NA,0,1421,any,2,000000000,Age Factors,NA
6310,29925383,2,;baseline eosinophil <300 cells/µl,Eosinophilia,D004802,NA,0,1421,any,2,000000000,Eosinophilia,NA
6311,29925383,2,;baseline eosinophil <300 cells/Î¼l,Eosinophilia,D004802,NA,0,1421,any,2,000000000,Eosinophilia,NA
6312,29925383,2,;baseline eosinophil =300 cells/µl,Eosinophilia,D004802,NA,0,1421,any,2,000000000,Eosinophilia,NA
6313,29925383,2,;baseline eosinophil â‰¥300 cells/Î¼l,Eosinophilia,D004802,NA,0,1421,any,2,000000000,Eosinophilia,NA
6314,29925383,2,;moderate copd,"Pulmonary Disease, Chronic Obstructive",D029424,NA,0,1421,severity,11,000100000,"Pulmonary Disease, Chronic Obstructive",NA
6315,29925383,2,;severe copd,"Pulmonary Disease, Chronic Obstructive",D029424,NA,0,1421,severity,11,000100000,"Pulmonary Disease, Chronic Obstructive",NA
6316,29925383,2,;very severe copd,"Pulmonary Disease, Chronic Obstructive",D029424,NA,0,1421,severity,11,000100000,"Pulmonary Disease, Chronic Obstructive",NA
6317,29925383,2,male female,Gender Identity,D005783,NA,0,1421,any,2,000000000,Gender Identity,NA
6318,29925383,2,Smoker,Cigarette Smoking,D000073865,NA,0,1421,any,2,000000000,Cigarette Smoking,NA
6319,29937267,2,;age (years),Age Factors,D000367,NA,0,1464,any,2,000000000,Age Factors,NA
6320,29937267,2,;baseline albuminuria,Albuminuria,D000419,NA,0,1464,any,2,000000000,Albuminuria,NA
6321,29937267,2,;black or african-american,Racial Groups,D044469,NA,0,1464,any,2,000000000,Racial Groups,NA
6322,29937267,2,;blood pressure control,Blood Pressure,D001794,NA,0,1464,any,2,000000000,Blood Pressure,NA
6323,29937267,2,;bmi (kg/m^),Body Mass Index,D015992,NA,0,1464,any,2,000000000,Body Mass Index,NA
